name,rank,industry,market_value_mil,revenue_mil,profit_mil,asset_mil,employees
Walmart,1,General Merchandisers,397475,611289,11680,243197,2100000
Amazon,2,Internet Services and Retailing,1058440,513983,2722,462675,1541000
Exxon Mobil,3,Petroleum Refining,446424,413680,55740,369067,62000
Apple,4,"Computers, Office Equipment",2609039,394328,99803,352755,164000
UnitedHealth Group,5,Health Care: Insurance and Managed Care,440854,324162,20120,245705,400000
CVS Health,6,Health Care: Pharmacy and Other Services,95422,322467,4149,228275,259500
Berkshire Hathaway,7,Insurance: Property and Casualty (Stock),675657,302089,22819,948452,383000
Alphabet,8,Internet Services and Retailing,1330201,282836,59972,365264,190234
McKesson,9,Wholesalers: Health Care,48757,263966,1114,63298,66500
Chevron,10,Petroleum Refining,311093,246252,35465,257709,43846
AmerisourceBergen,11,Wholesalers: Health Care,32384,238587,1699,56561,41500
Costco Wholesale,12,General Merchandisers,220354,226954,5844,64166,304000
Microsoft,13,Computer Software,2146049,198270,72738,364840,221000
Cardinal Health,14,Wholesalers: Health Care,19452,181364,933,43878,46035
Cigna,15,Health Care: Pharmacy and Other Services,75901,180516,6668,143932,70231
Marathon Petroleum,16,Petroleum Refining,59544,180012,14516,89904,17800
Phillips 66,17,Petroleum Refining,46727,175702,11024,76442,13000
Valero Energy,18,Petroleum Refining,51351,171189,11528,60982,9743
Ford Motor,19,Motor Vehicles & Parts,50400,158057,1981,255884,173000
Home Depot,20,Specialty Retailers: Other,299534,157403,17105,76445,471600
General Motors,21,Motor Vehicles & Parts,51155,156735,9934,264037,167000
Elevance Health,22,Health Care: Insurance and Managed Care,109098,156595,6025,102772,102300
JPMorgan Chase,23,Commercial Banks,383549,154792,37676,3665743,293723
Kroger,24,Food & Drug Stores,35421,148258,2244,49623,430000
Centene,25,Health Care: Insurance and Managed Care,34810,144547,1202,76870,74300
Verizon Communications,26,Telecommunications,163333,136835,21256,379680,117100
Walgreens Boots Alliance,27,Food & Drug Stores,29836,132703,4337,90124,262500
Fannie Mae,28,Diversified Financials,475,121596,12923,4305288,8000
Comcast,29,Telecommunications,159831,121427,5370,257275,186000
AT&T,30,Telecommunications,137250,120741,8524,402853,160700
Meta Platforms,31,Internet Services and Retailing,549484,116609,23200,185727,86482
Bank of America,32,Commercial Banks,228780,115053,27528,3051375,216823
Target,33,General Merchandisers,76250,109120,2780,53335,440000
Dell Technologies,34,"Computers, Office Equipment",29402,102301,2442,89611,133000
Archer Daniels Midland,35,Food Production,43530,101556,4340,59774,41181
Citigroup,36,Commercial Banks,91270,101078,14845,2416676,238104
UPS,37,"Mail, Package, and Freight Delivery",166189,100338,11548,71124,404700
Pfizer,38,Pharmaceuticals,230292,100330,31372,197205,83000
Lowe's,39,Specialty Retailers: Other,119253,97059,6437,43708,244500
Johnson & Johnson,40,Pharmaceuticals,483576,94943,17941,187378,152700
